  cell  ,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",1,0,1,0
"(3, 1)",1,0,0,0
"(4, 1)",1,0,0,1
"(5, 1)",0,0,1,1
"(6, 1)",1,0,1,1
"(7, 1)",1,0,1,0
"(8, 1)",1,0,0,1
"(9, 1)",0,0,1,0
"(10, 1)",1,0,0,1
"(11, 1)",1,0,1,1
"(12, 1)",0,0,1,1
"(13, 1)",0,0,1,1
"(14, 1)",1,0,1,1
"(15, 1)",1,0,1,0
"(16, 1)",1,0,0,1
"(17, 1)",1,0,1,1
"(18, 1)",0,0,1,1
"(19, 1)",1,0,1,0
"(20, 1)",1,0,0,1
"(21, 1)",1,0,1,1
"(22, 1)",0,0,1,1
"(23, 1)",1,0,1,1
"(24, 1)",0,0,1,0
"(25, 1)",1,0,0,1
"(26, 1)",1,0,1,0
"(27, 1)",1,0,0,1
"(28, 1)",0,0,1,1
"(29, 1)",1,0,1,1
"(30, 1)",1,0,1,1
"(31, 1)",0,0,1,1
"(32, 1)",1,0,1,1
"(33, 1)",0,0,1,1
"(34, 1)",0,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",1,0,1,1
"(37, 1)",1,0,1,0
"(38, 1)",1,0,0,1
"(39, 1)",0,0,1,1
"(40, 1)",1,0,1,0
"(41, 1)",1,0,0,1
"(42, 1)",0,0,1,1
"(43, 1)",0,0,1,1
"(44, 1)",1,0,1,0
"(45, 1)",1,0,0,1
"(46, 1)",1,0,1,1
"(47, 1)",1,0,1,1
"(48, 1)",1,0,1,0
"(49, 1)",1,0,0,1
"(50, 1)",1,0,1,0
"(1, 2)",1,0,0,1
"(2, 2)",1,1,1,0
"(3, 2)",1,1,0,1
"(4, 2)",0,1,1,1
"(5, 2)",0,0,1,0
"(6, 2)",1,1,0,0
"(7, 2)",1,1,0,1
"(8, 2)",1,1,1,0
"(9, 2)",1,0,0,1
"(10, 2)",0,1,1,0
"(11, 2)",0,1,0,1
"(12, 2)",1,0,1,0
"(13, 2)",0,0,0,1
"(14, 2)",1,1,1,0
"(15, 2)",0,1,0,1
"(16, 2)",1,1,1,0
"(17, 2)",0,1,0,1
"(18, 2)",1,0,1,1
"(19, 2)",1,1,1,1
"(20, 2)",0,1,1,0
"(21, 2)",1,1,0,1
"(22, 2)",1,0,1,0
"(23, 2)",1,1,0,1
"(24, 2)",0,0,1,1
"(25, 2)",0,1,1,0
