  cell  ,E,W,N,S
"(1, 1)",1,0,0,1
"(2, 1)",1,0,1,0
"(3, 1)",1,0,0,1
"(4, 1)",0,0,1,1
"(5, 1)",1,0,1,1
"(6, 1)",1,0,1,0
"(7, 1)",1,0,0,1
"(8, 1)",0,0,1,1
"(9, 1)",1,0,1,1
"(10, 1)",1,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",0,0,1,1
"(13, 1)",1,0,1,1
"(14, 1)",1,0,1,1
"(15, 1)",0,0,1,1
"(16, 1)",0,0,1,1
"(17, 1)",1,0,1,1
"(18, 1)",1,0,1,1
"(19, 1)",1,0,1,0
"(20, 1)",1,0,0,1
"(21, 1)",0,0,1,1
"(22, 1)",1,0,1,0
"(23, 1)",1,0,0,1
"(24, 1)",1,0,1,1
"(25, 1)",1,0,1,1
"(26, 1)",1,0,1,1
"(27, 1)",1,0,1,1
"(28, 1)",0,0,1,0
"(29, 1)",1,0,0,1
"(30, 1)",1,0,1,0
"(1, 2)",1,1,0,0
"(2, 2)",1,1,0,1
"(3, 2)",0,1,1,0
"(4, 2)",1,0,0,0
"(5, 2)",1,1,0,0
"(6, 2)",1,1,0,0
"(7, 2)",0,1,0,1
"(8, 2)",1,0,1,0
"(9, 2)",1,1,0,0
"(10, 2)",1,1,0,1
"(11, 2)",0,0,1,1
"(12, 2)",1,0,1,0
"(13, 2)",1,1,0,0
"(14, 2)",1,1,0,1
"(15, 2)",0,0,1,1
"(16, 2)",0,0,1,1
"(17, 2)",0,1,1,0
"(18, 2)",1,1,0,0
"(19, 2)",0,1,0,1
"(20, 2)",0,1,1,1
"(21, 2)",1,0,1,0
"(22, 2)",1,1,0,0
"(23, 2)",1,1,0,0
"(24, 2)",1,1,0,0
"(25, 2)",1,1,0,0
"(26, 2)",1,1,0,0
"(27, 2)",1,1,0,0
"(28, 2)",1,0,0,1
"(29, 2)",0,1,1,0
"(30, 2)",1,1,0,0
"(1, 3)",0,1,0,1
"(2, 3)",1,1,1,1
"(3, 3)",0,0,1,1
"(4, 3)",1,1,1,1
"(5, 3)",1,1,1,0
"(6, 3)",0,1,0,1
"(7, 3)",0,0,1,1
"(8, 3)",0,1,1,1
"(9, 3)",1,1,1,1
"(10, 3)",1,1,1,1
"(11, 3)",1,0,1,1
"(12, 3)",0,1,1,0
"(13, 3)",1,1,0,0
"(14, 3)",1,1,0,0
"(15, 3)",0,0,0,1
"(16, 3)",1,0,1,0
"(17, 3)",1,0,0,1
"(18, 3)",0,1,1,1
"(19, 3)",1,0,1,0
"(20, 3)",1,0,0,1
"(21, 3)",0,1,1,1
"(22, 3)",0,1,1,1
"(23, 3)",1,1,1,1
"(24, 3)",0,1,1,0
"(25, 3)",1,1,0,0
"(26, 3)",1,1,0,1
