  cell  ,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",0,0,1,1
"(3, 1)",1,0,1,0
"(4, 1)",1,0,0,0
"(5, 1)",1,0,0,1
"(6, 1)",1,0,1,1
"(7, 1)",0,0,1,1
"(8, 1)",1,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",1,0,1,1
"(12, 1)",0,0,1,1
"(13, 1)",1,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",0,0,1,1
"(16, 1)",0,0,1,1
"(17, 1)",1,0,1,0
"(18, 1)",1,0,0,1
"(19, 1)",0,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",1,0,1,0
"(22, 1)",0,0,0,1
"(23, 1)",1,0,1,1
"(24, 1)",0,0,1,1
"(25, 1)",1,0,1,1
"(26, 1)",1,0,1,1
"(27, 1)",1,0,1,1
"(28, 1)",1,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,0
"(1, 2)",1,0,0,1
"(2, 2)",0,0,1,1
"(3, 2)",0,1,1,1
"(4, 2)",1,1,1,1
"(5, 2)",1,1,1,0
"(6, 2)",1,1,0,1
"(7, 2)",0,0,1,1
"(8, 2)",0,1,1,0
"(9, 2)",1,0,0,1
"(10, 2)",1,0,1,0
"(11, 2)",0,1,0,1
"(12, 2)",0,0,1,0
"(13, 2)",1,1,0,1
"(14, 2)",1,0,1,1
"(15, 2)",1,0,1,0
"(16, 2)",1,0,0,1
"(17, 2)",0,1,1,0
"(18, 2)",0,1,0,1
"(19, 2)",1,0,1,0
"(20, 2)",1,0,0,1
"(21, 2)",0,1,1,0
"(22, 2)",1,0,0,1
"(23, 2)",1,1,1,0
"(24, 2)",1,0,0,1
"(25, 2)",0,1,1,0
"(26, 2)",0,1,0,0
"(27, 2)",1,1,0,0
"(28, 2)",1,1,0,0
"(29, 2)",1,0,0,1
"(30, 2)",1,1,1,0
"(1, 3)",1,1,0,0
"(2, 3)",1,0,0,1
"(3, 3)",1,0,1,0
"(4, 3)",1,1,0,0
"(5, 3)",1,1,0,1
"(6, 3)",1,1,1,1
"(7, 3)",0,0,1,0
"(8, 3)",1,0,0,1
"(9, 3)",0,1,1,0
"(10, 3)",0,1,0,1
"(11, 3)",0,0,1,1
"(12, 3)",0,0,1,1
"(13, 3)",0,1,1,0
"(14, 3)",1,1,0,0
"(15, 3)",1,1,0,1
"(16, 3)",0,1,1,0
"(17, 3)",1,0,0,1
"(18, 3)",1,0,1,1
"(19, 3)",0,1,1,1
"(20, 3)",0,1,1,1
"(21, 3)",1,0,1,0
"(22, 3)",1,1,0,0
"(23, 3)",1,1,0,0
"(24, 3)",0,1,0,1
"(25, 3)",1,0,1,0
"(26, 3)",1,0,0,1
"(27, 3)",1,1,1,0
"(28, 3)",1,1,0,0
"(29, 3)",1,1,0,0
"(30, 3)",1,1,0,0
"(1, 4)",0,1,0,1
"(2, 4)",0,1,1,0
"(3, 4)",1,1,0,0
"(4, 4)",1,1,0,1
"(5, 4)",0,1,1,0
"(6, 4)",0,1,0,0
"(7, 4)",1,0,0,1
"(8, 4)",0,1,1,0
"(9, 4)",1,0,0,1
"(10, 4)",0,0,1,1
"(11, 4)",1,0,1,0
"(12, 4)",1,0,0,1
"(13, 4)",0,0,1,1
"(14, 4)",1,1,1,0
"(15, 4)",0,1,0,1
"(16, 4)",1,0,1,0
"(17, 4)",0,1,0,0
"(18, 4)",0,1,0,1
"(19, 4)",0,0,1,1
"(20, 4)",1,0,1,0
"(21, 4)",0,1,0,1
"(22, 4)",0,1,1,0
"(23, 4)",1,1,0,1
"(24, 4)",1,0,1,0
"(25, 4)",0,1,0,1
"(26, 4)",1,1,1,0
"(27, 4)",1,1,0,1
"(28, 4)",1,1,1,0
"(29, 4)",1,1,0,1
"(30, 4)",1,1,1,0
"(1, 5)",0,0,0,1
"(2, 5)",1,0,1,1
"(3, 5)",1,1,1,1
"(4, 5)",0,1,1,0
"(5, 5)",1,0,0,1
"(6, 5)",0,0,1,1
"(7, 5)",1,1,1,1
"(8, 5)",1,0,1,1
"(9, 5)",0,1,1,0
"(10, 5)",0,0,0,1
"(11, 5)",0,1,1,1
"(12, 5)",0,1,1,1
"(13, 5)",1,0,1,1
"(14, 5)",1,1,1,1
"(15, 5)",0,0,1,0
"(16, 5)",0,1,0,1
"(17, 5)",0,0,1,1
"(18, 5)",1,0,1,1
"(19, 5)",0,0,1,1
"(20, 5)",0,1,1,0
"(21, 5)",1,0,0,0
"(22, 5)",1,0,0,1
"(23, 5)",0,1,1,0
"(24, 5)",0,1,0,1
"(25, 5)",1,0,1,1
"(26, 5)",1,1,1,1
"(27, 5)",0,1,1,0
"(28, 5)",0,1,0,1
"(29, 5)",1,1,1,0
"(30, 5)",1,1,0,0
"(1, 6)",1,0,0,1
"(2, 6)",1,1,1,0
"(3, 6)",0,1,0,1
"(4, 6)",1,0,1,0
"(5, 6)",0,1,0,1
"(6, 6)",1,0,1,0
"(7, 6)",1,1,0,0
"(8, 6)",1,1,0,1
"(9, 6)",0,0,1,1
"(10, 6)",0,0,1,1
"(11, 6)",1,0,1,0
"(12, 6)",1,0,0,1
"(13, 6)",0,1,1,0
"(14, 6)",0,1,0,1
"(15, 6)",0,0,1,1
"(16, 6)",1,0,1,1
"(17, 6)",1,0,1,0
"(18, 6)",1,1,0,1
"(19, 6)",0,0,1,1
"(20, 6)",1,0,1,0
"(21, 6)",1,1,0,1
"(22, 6)",0,1,1,1
