  cell  ,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",0,0,0,1
"(3, 1)",0,0,1,1
"(4, 1)",0,0,1,1
"(5, 1)",1,0,1,0
"(6, 1)",1,0,0,1
"(7, 1)",1,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",1,0,1,0
"(10, 1)",1,0,0,1
"(11, 1)",1,0,1,0
"(12, 1)",1,0,0,1
"(13, 1)",1,0,1,1
"(14, 1)",1,0,1,1
"(15, 1)",0,0,1,0
"(16, 1)",1,0,0,1
"(17, 1)",0,0,1,1
"(18, 1)",1,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",0,0,1,1
"(22, 1)",1,0,1,1
"(23, 1)",0,0,1,1
"(24, 1)",0,0,1,1
"(25, 1)",0,0,1,1
"(26, 1)",1,0,1,1
"(27, 1)",0,0,1,1
"(28, 1)",1,0,1,1
"(29, 1)",1,0,1,1
"(30, 1)",0,0,1,1
"(31, 1)",0,0,1,1
"(32, 1)",1,0,1,1
"(33, 1)",0,0,1,1
"(34, 1)",1,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",0,0,1,1
"(37, 1)",1,0,1,1
"(38, 1)",0,0,1,1
"(39, 1)",1,0,1,0
"(40, 1)",0,0,0,1
"(41, 1)",1,0,1,1
"(42, 1)",0,0,1,1
"(43, 1)",1,0,1,0
"(44, 1)",1,0,0,1
"(45, 1)",1,0,1,1
"(46, 1)",1,0,1,1
"(47, 1)",1,0,1,1
"(48, 1)",0,0,1,1
"(49, 1)",1,0,1,1
"(50, 1)",0,0,1,0
"(1, 2)",1,1,0,0
"(2, 2)",1,0,0,1
"(3, 2)",0,0,1,1
"(4, 2)",1,0,1,0
"(5, 2)",1,1,0,1
"(6, 2)",0,1,1,0
"(7, 2)",1,1,0,1
"(8, 2)",1,0,1,0
"(9, 2)",0,1,0,1
"(10, 2)",1,1,1,0
"(11, 2)",1,1,0,0
"(12, 2)",1,1,0,0
"(13, 2)",1,1,0,0
"(14, 2)",1,1,0,1
"(15, 2)",0,0,1,1
"(16, 2)",0,1,1,0
"(17, 2)",1,0,0,1
"(18, 2)",0,1,1,1
"(19, 2)",1,0,1,0
"(20, 2)",1,0,0,0
"(21, 2)",1,0,0,1
"(22, 2)",0,1,1,0
"(23, 2)",1,0,0,1
"(24, 2)",0,0,1,1
"(25, 2)",0,0,1,1
"(26, 2)",1,1,1,0
"(27, 2)",1,0,0,0
"(28, 2)",1,1,0,0
"(29, 2)",0,1,0,1
"(30, 2)",0,0,1,1
"(31, 2)",1,0,1,0
"(32, 2)",0,1,0,1
"(33, 2)",1,0,1,0
"(34, 2)",0,1,0,1
"(35, 2)",1,0,1,0
"(36, 2)",1,0,0,1
"(37, 2)",1,1,1,0
"(38, 2)",0,0,0,1
"(39, 2)",1,1,1,1
"(40, 2)",0,0,1,1
"(41, 2)",1,1,1,0
"(42, 2)",0,0,0,1
"(43, 2)",1,1,1,1
"(44, 2)",0,1,1,0
"(45, 2)",1,1,0,0
"(46, 2)",1,1,0,0
"(47, 2)",0,1,0,1
"(48, 2)",1,0,1,0
"(49, 2)",0,1,0,1
"(50, 2)",1,0,1,0
"(1, 3)",1,1,0,1
"(2, 3)",1,1,1,0
"(3, 3)",0,0,0,1
"(4, 3)",1,1,1,1
"(5, 3)",0,1,1,1
"(6, 3)",1,0,1,1
"(7, 3)",0,1,1,0
"(8, 3)",0,1,0,1
"(9, 3)",0,0,1,1
"(10, 3)",1,1,1,1
"(11, 3)",1,1,1,0
"(12, 3)",1,1,0,1
"(13, 3)",0,1,1,1
"(14, 3)",1,1,1,0
